iter	Passed	Remaining
423	1632	2217
424	1635	2212
425	1637	2206
426	1642	2204
427	1645	2199
428	1648	2194
429	1651	2189
430	1655	2184
431	1659	2182
432	1662	2176
433	1665	2171
434	1668	2166
435	1672	2163
436	1675	2158
437	1677	2152
438	1680	2147
439	1683	2142
440	1687	2138
441	1690	2133
442	1693	2129
443	1697	2125
444	1702	2123
445	1705	2118
446	1708	2114
447	1716	2114
448	1719	2110
449	1723	2106
450	1728	2104
451	1731	2099
452	1734	2094
453	1736	2088
454	1739	2083
455	1742	2079
456	1745	2074
457	1748	2069
458	1751	2064
459	1754	2059
460	1758	2055
461	1760	2050
462	1763	2045
463	1765	2039
464	1768	2034
465	1771	2029
466	1774	2025
467	1777	2020
468	1779	2015
469	1782	2009
470	1784	2003
471	1786	1998
472	1789	1993
473	1791	1988
474	1794	1983
475	1796	1978
476	1799	1973
477	1803	1969
478	1806	1964
479	1809	1960
480	1812	1956
481	1815	1951
482	1819	1947
483	1821	1942
484	1824	1937
485	1827	1932
486	1831	1928
487	1834	1924
488	1837	1919
489	1839	1914
490	1843	1910
491	1848	1908
492	1853	1905
493	1856	1901
494	1859	1896
495	1864	1894
496	1866	1889
497	1869	1884
498	1872	1879
499	1875	1875
500	1878	1871
501	1880	1865
502	1883	1860
503	1885	1855
504	1888	1851
505	1895	1850
506	1897	1845
507	1901	1841
508	1904	1836
509	1907	1832
510	1910	1827
511	1913	1823
512	1915	1818
513	1918	1813
514	1921	1809
515	1924	1804
516	1926	1800
517	1929	1795
518	1931	1790
519	1934	1785
520	1937	1781
521	1940	1776
522	1942	1772
523	1945	1767
524	1948	1763
525	1951	1758
526	1954	1754
527	1957	1749
528	1960	1745
529	1962	1740
530	1966	1736
531	1968	1732
532	1971	1727
533	1974	1722
534	1976	1717
535	1980	1714
536	1982	1709
537	1985	1705
538	1988	1700
539	1991	1696
540	1995	1692
541	1998	1688
542	2000	1684
543	2003	1679
544	2005	1674
545	2007	1669
546	2010	1665
547	2013	1660
548	2016	1656
549	2018	1651
550	2021	1646
551	2024	1643
552	2027	1638
553	2030	1634
554	2032	1630
555	2035	1625
556	2041	1623
557	2044	1619
558	2046	1614
559	2049	1610
560	2051	1605
561	2054	1601
562	2056	1596
563	2059	1591
564	2061	1587
565	2064	1582
566	2066	1578
567	2070	1574
568	2073	1570
569	2075	1566
570	2078	1561
571	2081	1557
572	2086	1555
573	2090	1551
574	2092	1546
575	2095	1542
576	2099	1539
577	2103	1535
578	2105	1531
579	2108	1527
580	2112	1523
581	2114	1518
582	2117	1514
583	2120	1510
584	2122	1505
585	2125	1501
586	2128	1497
587	2131	1493
588	2134	1489
589	2138	1485
590	2141	1481
591	2146	1479
592	2148	1474
593	2152	1470
594	2155	1466
595	2160	1464
596	2163	1460
597	2165	1456
598	2169	1452
599	2173	1448
600	2175	1444
601	2178	1440
602	2181	1436
603	2184	1432
604	2187	1428
605	2190	1424
606	2192	1419
607	2195	1415
608	2199	1411
609	2203	1408
610	2205	1404
611	2208	1399
612	2210	1395
613	2212	1390
614	2214	1386
615	2218	1383
616	2221	1379
617	2224	1374
618	2226	1370
619	2230	1367
620	2233	1363
621	2235	1358
622	2238	1354
623	2241	1350
624	2243	1346
625	2247	1342
626	2249	1338
627	2252	1334
628	2256	1331
629	2259	1326
630	2262	1322
631	2265	1318
632	2267	1314
633	2270	1310
634	2273	1306
635	2276	1302
636	2279	1298
637	2281	1294
638	2284	1290
639	2286	1286
640	2289	1282
641	2293	1278
642	2295	1274
643	2298	1270
644	2300	1266
645	2302	1262
646	2305	1257
647	2308	1254
648	2311	1249
649	2313	1245
650	2316	1241
651	2318	1237
652	2322	1234
653	2325	1230
654	2327	1225
655	2330	1222
656	2332	1217
657	2336	1214
658	2339	1210
659	2341	1206
660	2343	1202
661	2346	1198
662	2349	1194
663	2354	1191
664	2357	1187
665	2360	1183
666	2362	1179
667	2365	1175
668	2367	1171
669	2370	1167
670	2372	1163
671	2375	1159
672	2377	1155
673	2381	1151
674	2384	1147
675	2386	1143
676	2389	1139
677	2391	1135
678	2394	1132
679	2397	1128
680	2400	1124
681	2403	1120
682	2405	1116
683	2408	1112
684	2411	1109
685	2414	1105
686	2417	1101
687	2419	1097
688	2421	1093
689	2425	1089
690	2429	1086
691	2431	1082
692	2434	1078
693	2436	1074
694	2440	1071
695	2443	1067
696	2445	1063
697	2448	1059
698	2450	1055
699	2453	1051
700	2460	1049
701	2468	1047
702	2474	1045
703	2477	1041
704	2480	1038
705	2484	1034
706	2489	1031
707	2493	1028
708	2496	1024
709	2498	1020
710	2501	1016
711	2504	1012
712	2506	1009
713	2509	1005
714	2512	1001
715	2515	997
716	2518	994
717	2521	990
718	2523	986
719	2526	982
720	2528	978
721	2531	974
722	2534	970
723	2536	966
724	2538	962
725	2540	958
726	2543	955
727	2547	951
728	2549	947
729	2551	943
730	2553	939
731	2556	936
732	2559	932
733	2562	928
734	2565	924
735	2567	920
736	2569	917
737	2572	913
738	2576	910
739	2579	906
740	2581	902
741	2584	898
742	2586	894
743	2590	891
744	2592	887
745	2595	883
746	2598	879
747	2601	876
748	2604	872
749	2607	869
750	2610	865
751	2612	861
752	2615	857
753	2617	854
754	2620	850
755	2623	846
756	2625	842
757	2627	838
758	2630	835
759	2632	831
760	2635	827
761	2638	824
762	2641	820
763	2643	816
764	2645	812
765	2647	808
766	2651	805
767	2653	801
768	2655	797
769	2657	793
770	2659	790
771	2662	786
772	2665	782
773	2668	779
774	2670	775
775	2672	771
776	2674	767
777	2676	763
778	2677	759
779	2680	756
780	2682	752
781	2685	748
782	2687	744
783	2689	741
784	2692	737
785	2695	733
786	2697	730
787	2699	726
788	2701	722
789	2703	718
790	2705	714
791	2708	711
792	2711	707
793	2714	704
794	2717	700
795	2719	696
796	2723	693
797	2726	690
798	2728	686
799	2731	682
800	2733	679
801	2735	675
802	2738	671
803	2741	668
804	2744	664
805	2747	661
806	2750	657
807	2753	654
808	2756	650
809	2758	647
810	2761	643
811	2764	640
812	2767	636
813	2770	633
814	2773	629
815	2776	625
816	2778	622
817	2781	618
818	2784	615
819	2787	611
820	2790	608
821	2792	604
822	2794	601
823	2798	597
824	2801	594
825	2804	590
826	2806	587
827	2809	583
828	2812	580
829	2815	576
830	2818	573
831	2820	569
832	2822	565
833	2826	562
834	2829	559
835	2832	555
836	2836	552
837	2839	548
838	2847	546
839	2851	543
840	2854	539
841	2858	536
842	2862	533
843	2864	529
844	2867	526
845	2870	522
846	2872	518
847	2876	515
848	2878	511
849	2880	508
850	2883	504
851	2885	501
852	2889	497
853	2892	494
854	2894	490
855	2897	487
856	2899	483
857	2902	480
858	2905	476
859	2907	473
860	2910	469
861	2912	466
862	2915	462
863	2919	459
864	2921	455
865	2924	452
866	2926	448
867	2929	445
868	2932	442
869	2935	438
870	2937	435
871	2940	431
872	2942	428
873	2944	424
874	2947	421
875	2950	417
876	2952	414
877	2954	410
878	2957	407
879	2959	403
880	2962	400
881	2965	396
882	2967	393
883	2970	389
884	2972	386
885	2975	382
886	2980	379
887	2982	376
888	2985	372
889	2988	369
890	2990	365
891	2994	362
892	2996	359
893	2998	355
894	3001	352
895	3003	348
896	3006	345
897	3009	341
898	3012	338
899	3014	334
900	3017	331
901	3019	328
902	3022	324
903	3025	321
904	3027	317
905	3030	314
906	3032	310
907	3035	307
908	3038	304
909	3041	300
910	3044	297
911	3046	293
912	3049	290
913	3051	287
914	3055	283
915	3057	280
916	3060	276
917	3062	273
918	3066	270
919	3069	266
920	3072	263
921	3074	260
922	3077	256
923	3080	253
924	3084	250
925	3087	246
926	3090	243
927	3092	239
928	3096	236
929	3099	233
930	3103	229
931	3106	226
932	3108	223
933	3111	219
934	3114	216
935	3117	213
936	3120	209
937	3123	206
938	3125	203
939	3129	199
940	3132	196
941	3135	193
942	3138	189
943	3143	186
944	3145	183
945	3148	179
946	3150	176
947	3152	172
948	3155	169
949	3157	166
950	3160	162
951	3162	159
952	3165	156
953	3167	152
954	3169	149
955	3172	146
956	3175	142
957	3177	139
958	3180	135
959	3183	132
960	3186	129
961	3189	125
962	3191	122
963	3193	119
964	3195	115
965	3198	112
966	3202	109
967	3204	105
968	3207	102
969	3209	99
970	3211	95
971	3215	92
972	3218	89
973	3220	85
974	3223	82
975	3225	79
976	3228	75
977	3231	72
978	3234	69
979	3236	66
980	3239	62
981	3241	59
982	3244	56
983	3247	52
984	3249	49
985	3252	46
986	3254	42
987	3257	39
988	3259	36
989	3262	32
990	3265	29
991	3267	26
992	3270	23
993	3276	19
994	3280	16
995	3283	13
996	3287	9
997	3295	6
998	3298	3
999	3302	0
